name,sub,Direction
BIN1,AE_TUO9O5_0,0.008718313649296759
C11orf75,AE_TUO9O5_0,0.0033050552010536194
C16orf59,AE_TUO9O5_0,0.00011701104085659607
C8orf84,AE_TUO9O5_0,0.006605487782508135
CCL22,AE_TUO9O5_0,0.00040173102752305567
CDH3,AE_TUO9O5_0,0.0033161910250782967
CYP2C8,AE_TUO9O5_0,0.0009579852921888232
DGKA,AE_TUO9O5_0,0.0013297550613060596
DUSP5,AE_TUO9O5_0,0.00783812627196312
EMID1,AE_TUO9O5_0,0.0017047335859388113
FABP4,AE_TUO9O5_0,0.002702865749597549
HMGA1,AE_TUO9O5_0,0.004406353458762169
KLHDC7B,AE_TUO9O5_0,0.0009257133351638912
KRT19,AE_TUO9O5_0,0.04281187430024147
LAMA3,AE_TUO9O5_0,0.004826186690479517
LRAT,AE_TUO9O5_0,0.0003549972898326814
LRFN5,AE_TUO9O5_0,0.00013582204701378942
LTB,AE_TUO9O5_0,0.0013039822224527595
LY6E,AE_TUO9O5_0,0.05086330696940422
MGC16121,AE_TUO9O5_0,0.00019096813048236072
NAT14,AE_TUO9O5_0,0.0016588192665949464
PCDHA10,AE_TUO9O5_0,0.002527992241084576
RPL9,AE_TUO9O5_0,0.011900984682142736
ST8SIA6,AE_TUO9O5_0,-0.0009343018173240123
STMN3,AE_TUO9O5_0,0.009021663106977941
TMEM51,AE_TUO9O5_0,0.0039547099731862545
TUSC3,AE_TUO9O5_0,0.005359544884413482
WFDC2,AE_TUO9O5_0,0.029426140710711483
XKR9,AE_TUO9O5_0,-0.00019531851285137242
ZNHIT2,AE_TUO9O5_0,0.0008726256201043725
ASL,AE_TUO9O5_1,-0.0024877793621271853
C19orf33,AE_TUO9O5_1,0.0030171130783855915
C5orf27,AE_TUO9O5_1,-0.002046756912022829
C6orf186,AE_TUO9O5_1,-9.458158456254749e-05
C7orf25,AE_TUO9O5_1,-0.0005279090255498887
C7orf49,AE_TUO9O5_1,-0.002074101474136114
C9,AE_TUO9O5_1,8.695144060766324e-05
CDKL5,AE_TUO9O5_1,-0.0004466217651497573
CYP2C8,AE_TUO9O5_1,0.0005125013994984329
DOLPP1,AE_TUO9O5_1,-0.00034103970392607147
FICD,AE_TUO9O5_1,-0.0002744839584920556
GARS,AE_TUO9O5_1,-0.0038092080503702155
IHH,AE_TUO9O5_1,-0.0005681294132955372
ISPD,AE_TUO9O5_1,-0.00033037769026122987
KIF2A,AE_TUO9O5_1,-0.0017425873083993793
LOC90784,AE_TUO9O5_1,-0.00043865203042514617
MAGED4,AE_TUO9O5_1,0.00032502828980796034
MTMR4,AE_TUO9O5_1,-0.002650674432516098
NACC2,AE_TUO9O5_1,-0.00015545939095318315
OR2A9P,AE_TUO9O5_1,-0.0006523054325953126
PCSK6,AE_TUO9O5_1,-0.013449775986373423
PDK3,AE_TUO9O5_1,-0.0004782452597282827
PLCXD2,AE_TUO9O5_1,-0.00015446577162947506
PLEKHA8,AE_TUO9O5_1,-0.0002481176925357431
PNPO,AE_TUO9O5_1,-0.002824309514835477
PPP1R14C,AE_TUO9O5_1,-0.001143209752626717
PRPH,AE_TUO9O5_1,0.00031289117760024965
RNF157,AE_TUO9O5_1,-0.0015517185674980285
SEMA3D,AE_TUO9O5_1,-0.0013201438123360276
SERPINA6,AE_TUO9O5_1,-0.0019731470383703713
SH3RF2,AE_TUO9O5_1,-0.0005534279625862837
THBS2,AE_TUO9O5_1,-0.01037798635661602
TRIM14,AE_TUO9O5_1,-0.0030785922426730394
VWCE,AE_TUO9O5_1,-0.001683458685874939
WISP2,AE_TUO9O5_1,-0.0011132311774417758
ACSM5,AE_TUO9O5_2,0.004870939068496227
ALDH8A1,AE_TUO9O5_2,0.007193322293460369
AMIGO1,AE_TUO9O5_2,0.001536420313641429
